,FBH400-40,FBH510-10,FBH630-10,FBH700-40,FBH770-10,FESH0500,FESH0750,FESH0750_NF633-25,350nm,550nm,750nm,950nm
400.0,0.30871733342309055,4.975579687928295e-07,3.258420497541647e-07,1.2336060131317e-06,3.6518124421992904e-07,0.31460747110619375,0.3091092863570618,2.10194314722802e-06,0.0,0.0,0.0,0.0
401.0,0.3145722826344556,5.40582677830552e-07,3.1673164643757986e-07,1.116938448017062e-06,4.064982940361516e-07,0.31843002382583513,0.31377522490687537,7.091320082895382e-06,0.0,0.0,0.0,0.0
402.0,0.3179821455237567,5.55140220647833e-07,2.4707382333263116e-07,9.670498105817141e-07,3.7520197828328673e-07,0.3218692475766768,0.31884737950153463,1.3678552580615837e-05,0.0,0.0,0.0,0.0
403.0,0.3220700523486561,6.010571950134729e-07,3.67407928753632e-07,1.0743032240161051e-06,3.772626370516143e-07,0.32508717734221293,0.3237839221739911,9.130706605306546e-06,0.0,0.0,0.0,0.0
404.0,0.3280966507278536,6.236559062301564e-07,4.0047624591954435e-07,1.2777155665543543e-06,3.8973715004880237e-07,0.32924155947547307,0.32868954491012725,1.6335870382033328e-05,0.0,0.0,0.0,0.0
405.0,0.3340579495681057,5.796576469014623e-07,3.1436895139208354e-07,1.2491008555767922e-06,3.9170882657635614e-07,0.3344076501509331,0.3335736950720156,1.544446208183432e-05,0.0,0.0,0.0,0.0
406.0,0.34031499566170686,5.735775809405472e-07,3.9036079634851264e-07,1.302438267468395e-06,3.9370531266736327e-07,0.33989583554888514,0.33907037059881,1.759775223407824e-05,0.0,0.0,0.0,0.0
407.0,0.3441765741413605,6.360309715463421e-07,3.270199421844474e-07,1.2811565324336906e-06,3.7760395619888365e-07,0.34564075863037635,0.3440201614845789,9.32294637623209e-06,0.0,0.0,0.0,0.0
408.0,0.3481332936119932,6.335569291596099e-07,3.7558899104621707e-07,1.0444745200371918e-06,4.7079238290337256e-07,0.3508250185845476,0.34844178040868357,1.8467414361660233e-05,0.0,0.0,0.0,0.0
409.0,0.3481800930347647,6.1998339651539e-07,5.232165501263782e-07,1.0934382687563006e-06,4.2261660222462617e-07,0.35399589871111514,0.35119228300438077,1.9772125533146632e-05,0.0,0.0,0.0,0.0
410.0,0.348200695274682,6.24703492576334e-07,3.327433596430121e-07,1.2435067183749928e-06,3.9978677986734254e-07,0.3572133685116259,0.3540099060760467,2.0709579505448732e-05,0.0,0.0,0.0,0.0
411.0,0.34917078073510444,6.182033355763799e-07,3.3913743591421115e-07,1.4528492518054035e-06,4.3676607407458095e-07,0.36017207858615785,0.35734391389044595,1.4079350207283571e-05,0.0,0.0,0.0,0.0
